"label","n","parent","id"
"Brazil",23,"total -  Sci Fi","total -  Sci Fi  -  Brazil"
"Brazil",5,"total -  Sport","total -  Sport  -  Brazil"
"Brazil",6,"total -  Talk Show","total -  Talk Show  -  Brazil"
"Brazil",63,"total -  Thriller","total -  Thriller  -  Brazil"
"Brazil",2,"total -  War","total -  War  -  Brazil"
"Brazil",2,"total -  Western","total -  Western  -  Brazil"
"Bulgaria",214,"total -  Action","total -  Action  -  Bulgaria"
"Bulgaria",3,"total -  Adult","total -  Adult  -  Bulgaria"
"Bulgaria",133,"total -  Adventure","total -  Adventure  -  Bulgaria"
"Bulgaria",45,"total -  Animation","total -  Animation  -  Bulgaria"
"Bulgaria",8,"total -  Biography","total -  Biography  -  Bulgaria"
"Bulgaria",184,"total -  Comedy","total -  Comedy  -  Bulgaria"
"Bulgaria",128,"total -  Crime","total -  Crime  -  Bulgaria"
"Bulgaria",28,"total -  Documentary","total -  Documentary  -  Bulgaria"
"Bulgaria",306,"total -  Drama","total -  Drama  -  Bulgaria"
"Bulgaria",23,"total -  Family","total -  Family  -  Bulgaria"
"Bulgaria",41,"total -  Fantasy","total -  Fantasy  -  Bulgaria"
"Bulgaria",10,"total -  Game Show","total -  Game Show  -  Bulgaria"
"Bulgaria",1,"total -  History","total -  History  -  Bulgaria"
"Bulgaria",24,"total -  Horror","total -  Horror  -  Bulgaria"
"Bulgaria",4,"total -  Music","total -  Music  -  Bulgaria"
"Bulgaria",1,"total -  Musical","total -  Musical  -  Bulgaria"
"Bulgaria",43,"total -  Mystery","total -  Mystery  -  Bulgaria"
"Bulgaria",14,"total -  Reality TV","total -  Reality TV  -  Bulgaria"
"Bulgaria",97,"total -  Romance","total -  Romance  -  Bulgaria"
"Bulgaria",47,"total -  Sci Fi","total -  Sci Fi  -  Bulgaria"
"Bulgaria",10,"total -  Sport","total -  Sport  -  Bulgaria"
"Bulgaria",11,"total -  Talk Show","total -  Talk Show  -  Bulgaria"
"Bulgaria",61,"total -  Thriller","total -  Thriller  -  Bulgaria"
"Bulgaria",3,"total -  War","total -  War  -  Bulgaria"
"Bulgaria",5,"total -  Western","total -  Western  -  Bulgaria"
"Canada",175,"total -  Action","total -  Action  -  Canada"
"Canada",3,"total -  Adult","total -  Adult  -  Canada"
"Canada",111,"total -  Adventure","total -  Adventure  -  Canada"
"Canada",50,"total -  Animation","total -  Animation  -  Canada"
"Canada",22,"total -  Biography","total -  Biography  -  Canada"
"Canada",168,"total -  Comedy","total -  Comedy  -  Canada"
"Canada",153,"total -  Crime","total -  Crime  -  Canada"
"Canada",31,"total -  Documentary","total -  Documentary  -  Canada"
"Canada",297,"total -  Drama","total -  Drama  -  Canada"
"Canada",16,"total -  Family","total -  Family  -  Canada"
"Canada",28,"total -  Fantasy","total -  Fantasy  -  Canada"
"Canada",1,"total -  Film Noir","total -  Film Noir  -  Canada"
"Canada",7,"total -  Game Show","total -  Game Show  -  Canada"
"Canada",5,"total -  History","total -  History  -  Canada"
"Canada",29,"total -  Horror","total -  Horror  -  Canada"
"Canada",4,"total -  Music","total -  Music  -  Canada"
"Canada",1,"total -  Musical","total -  Musical  -  Canada"
"Canada",61,"total -  Mystery","total -  Mystery  -  Canada"
"Canada",22,"total -  Reality TV","total -  Reality TV  -  Canada"
"Canada",73,"total -  Romance","total -  Romance  -  Canada"
"Canada",35,"total -  Sci Fi","total -  Sci Fi  -  Canada"
"Canada",8,"total -  Sport","total -  Sport  -  Canada"
"Canada",9,"total -  Talk Show","total -  Talk Show  -  Canada"
"Canada",69,"total -  Thriller","total -  Thriller  -  Canada"
"Canada",6,"total -  War","total -  War  -  Canada"
"Canada",2,"total -  Western","total -  Western  -  Canada"
"Chile",129,"total -  Action","total -  Action  -  Chile"
"Chile",3,"total -  Adult","total -  Adult  -  Chile"
