"id","n","label","parent"
"total -  Action  -  Germany","206","Germany","total -  Action"
"total -  Adventure  -  Germany","155","Germany","total -  Adventure"
"total -  Comedy  -  Germany","180","Germany","total -  Comedy"
"total -  Crime  -  Germany","151","Germany","total -  Crime"
"total -  Drama  -  Germany","317","Germany","total -  Drama"
"total -  Family  -  Germany","55","Germany","total -  Family"
"total -  Fantasy  -  Germany","63","Germany","total -  Fantasy"
"total -  Mystery  -  Germany","51","Germany","total -  Mystery"
"total -  Romance  -  Germany","72","Germany","total -  Romance"
"total -  Thriller  -  Germany","77","Germany","total -  Thriller"
"total -  Action  -  Greece","187","Greece","total -  Action"
"total -  Adventure  -  Greece","128","Greece","total -  Adventure"
"total -  Animation  -  Greece","48","Greece","total -  Animation"
"total -  Comedy  -  Greece","164","Greece","total -  Comedy"
"total -  Crime  -  Greece","136","Greece","total -  Crime"
"total -  Drama  -  Greece","330","Greece","total -  Drama"
"total -  Fantasy  -  Greece","44","Greece","total -  Fantasy"
"total -  Mystery  -  Greece","52","Greece","total -  Mystery"
"total -  Romance  -  Greece","89","Greece","total -  Romance"
"total -  Thriller  -  Greece","54","Greece","total -  Thriller"
"total -  Action  -  Guadeloupe","217","Guadeloupe","total -  Action"
"total -  Adventure  -  Guadeloupe","108","Guadeloupe","total -  Adventure"
"total -  Animation  -  Guadeloupe","42","Guadeloupe","total -  Animation"
"total -  Comedy  -  Guadeloupe","156","Guadeloupe","total -  Comedy"
"total -  Crime  -  Guadeloupe","145","Guadeloupe","total -  Crime"
"total -  Drama  -  Guadeloupe","339","Guadeloupe","total -  Drama"
"total -  Fantasy  -  Guadeloupe","46","Guadeloupe","total -  Fantasy"
"total -  Mystery  -  Guadeloupe","38","Guadeloupe","total -  Mystery"
"total -  Romance  -  Guadeloupe","74","Guadeloupe","total -  Romance"
"total -  Thriller  -  Guadeloupe","67","Guadeloupe","total -  Thriller"
"total -  Action  -  Guatemala","119","Guatemala","total -  Action"
