"parents","n","labels","id"
"Canada",22," Reality TV","Canada  -   Reality TV"
"Canada",73," Romance","Canada  -   Romance"
"Canada",35," Sci Fi","Canada  -   Sci Fi"
"Canada",8," Sport","Canada  -   Sport"
"Canada",9," Talk Show","Canada  -   Talk Show"
"Canada",69," Thriller","Canada  -   Thriller"
"Canada",6," War","Canada  -   War"
"Canada",2," Western","Canada  -   Western"
"Chile",129," Action","Chile  -   Action"
"Chile",3," Adult","Chile  -   Adult"
"Chile",117," Adventure","Chile  -   Adventure"
"Chile",69," Animation","Chile  -   Animation"
"Chile",3," Biography","Chile  -   Biography"
"Chile",197," Comedy","Chile  -   Comedy"
"Chile",97," Crime","Chile  -   Crime"
"Chile",21," Documentary","Chile  -   Documentary"
"Chile",322," Drama","Chile  -   Drama"
"Chile",20," Family","Chile  -   Family"
"Chile",21," Fantasy","Chile  -   Fantasy"
"Chile",2," History","Chile  -   History"
"Chile",23," Horror","Chile  -   Horror"
"Chile",42," Music","Chile  -   Music"
"Chile",40," Mystery","Chile  -   Mystery"
"Chile",2," Reality TV","Chile  -   Reality TV"
"Chile",116," Romance","Chile  -   Romance"
"Chile",22," Sci Fi","Chile  -   Sci Fi"
"Chile",6," Sport","Chile  -   Sport"
"Chile",9," Talk Show","Chile  -   Talk Show"
"Chile",62," Thriller","Chile  -   Thriller"
"Chile",3," War","Chile  -   War"
"Chile",5," Western","Chile  -   Western"
"Colombia",142," Action","Colombia  -   Action"
"Colombia",2," Adult","Colombia  -   Adult"
"Colombia",112," Adventure","Colombia  -   Adventure"
"Colombia",56," Animation","Colombia  -   Animation"
"Colombia",3," Biography","Colombia  -   Biography"
"Colombia",195," Comedy","Colombia  -   Comedy"
"Colombia",109," Crime","Colombia  -   Crime"
"Colombia",40," Documentary","Colombia  -   Documentary"
"Colombia",282," Drama","Colombia  -   Drama"
"Colombia",20," Family","Colombia  -   Family"
"Colombia",23," Fantasy","Colombia  -   Fantasy"
"Colombia",22," Horror","Colombia  -   Horror"
"Colombia",19," Music","Colombia  -   Music"
"Colombia",5," Musical","Colombia  -   Musical"
"Colombia",41," Mystery","Colombia  -   Mystery"
"Colombia",3," Reality TV","Colombia  -   Reality TV"
"Colombia",107," Romance","Colombia  -   Romance"
"Colombia",18," Sci Fi","Colombia  -   Sci Fi"
"Colombia",5," Sport","Colombia  -   Sport"
"Colombia",7," Talk Show","Colombia  -   Talk Show"
"Colombia",74," Thriller","Colombia  -   Thriller"
"Colombia",2," War","Colombia  -   War"
"Colombia",5," Western","Colombia  -   Western"
"Costa Rica",119," Action","Costa Rica  -   Action"
"Costa Rica",2," Adult","Costa Rica  -   Adult"
"Costa Rica",103," Adventure","Costa Rica  -   Adventure"
"Costa Rica",55," Animation","Costa Rica  -   Animation"
"Costa Rica",4," Biography","Costa Rica  -   Biography"
"Costa Rica",203," Comedy","Costa Rica  -   Comedy"
"Costa Rica",96," Crime","Costa Rica  -   Crime"
"Costa Rica",26," Documentary","Costa Rica  -   Documentary"
"Costa Rica",318," Drama","Costa Rica  -   Drama"
"Costa Rica",21," Family","Costa Rica  -   Family"
"Costa Rica",21," Fantasy","Costa Rica  -   Fantasy"
"Costa Rica",1," Game Show","Costa Rica  -   Game Show"
"Costa Rica",22," Horror","Costa Rica  -   Horror"
"Costa Rica",34," Music","Costa Rica  -   Music"
"Costa Rica",1," Musical","Costa Rica  -   Musical"
